cod_departamento,departamento,ipm,si_ac_fu_ag,bsp_cpi,analfabetismo,ba_ac_se_sa,sin_ale_sal,hacinamiento_critico,ina_eli_exc,inasistencia_escolar,baj_log_edu,ma_in_pa_ex,mat_ina_pis,rezago_escolar,trabajo_infantil,cod_municipio,municipio,clase
"19","CAUCA","16,3","1,8","1,4","5","8,5","18,4","7,8","4,4","1,8","33,5","6,3","2,7","11,3","0,5","19001","POPAYAN","Cabecera municipal",
"19","CAUCA","23,9","5,4","1,4","10,1","3,7","14,1","13,2","10,1","1,4","43","0,9","18,8","5,2","0,9","19022","ALMAGUER","Cabecera municipal",
"19","CAUCA","30,8","3,9","1,9","11","10,2","16","13,4","9,5","2,9","62,2","5,1","8","17,4","3,2","19050","ARGELIA","Cabecera municipal",
"19","CAUCA","38,6","11,5","1,8","16","3,1","10,2","14,5","17,1","5,9","72,1","4","10,8","16,1","2,4","19075","BALBOA","Cabecera municipal",
"19","CAUCA","21,6","3,7","0,7","10,5","2,2","11,6","11,1","7,6","2","47,8","0,9","11,8","9","0,6","19100","BOLIVAR","Cabecera municipal",
"19","CAUCA","23,1","1,6","0,9","9,9","1,8","18,2","9,2","7,2","2,5","47,6","1,2","5,8","15,9","1,8","19110","BUENOS AIRES","Cabecera municipal",
"19","CAUCA","19,8","3,5","2","7,6","3,2","13,9","8,4","9,6","1,8","50,2","3","3,2","11,1","0,3","19130","CAJIBIO","Cabecera municipal",
"19","CAUCA","26,4","3,2","2","9,8","6,3","22,3","11,4","24,7","1,5","39,5","1,6","10,8","8,8","1,2","19137","CALDONO","Cabecera municipal",
"19","CAUCA","18","5","1,1","6,4","4","15,6","10,3","12,6","1,4","35,5","5,8","4,1","12,2","0,2","19142","CALOTO","Cabecera municipal",
"19","CAUCA","23,1","1,3","1,3","12,8","3,8","17,9","12,4","1,6","3,2","55,4","4,2","5,3","12","1,2","19212","CORINTO","Cabecera municipal",
"19","CAUCA","30,8","2,8","1,1","10,6","5,3","14,5","10,8","16","1,9","54,1","11,7","9","9,6","1,5","19256","EL TAMBO","Cabecera municipal",
"19","CAUCA","23,7","1,1","0,5","10","6,2","12,1","12,6","5","2,5","55,3","0,5","4,1","17,1","1,1","19290","FLORENCIA","Cabecera municipal",
"19","CAUCA","18,2","1,1","1","6,1","3","18,3","9,6","4,3","1,5","38,4","0,7","1,9","16","0,8","19300","GUACHENE","Cabecera municipal",
"19","CAUCA","60,5","80,5","7,8","23,6","1,5","28,6","10,8","82,5","6,1","54,3","54,6","0,3","28,5","2,1","19318","GUAPI","Cabecera municipal",
"19","CAUCA","19,8","8,5","2,7","6,1","6,7","21,1","6,7","12,4","1,1","37,1","1,8","4,9","8,5","0,9","19355","INZA","Cabecera municipal",
"19","CAUCA","14,3","5","0,2","6,7","13,1","13,9","7,9","5,5","1,1","34,9","1,1","6,7","12,4","1,7","19364","JAMBALO","Cabecera municipal",
"19","CAUCA","41,5","1,1","0,6","11,9","1","13,5","16,9","30,8","1,8","50,5","8,9","28,9","9,6","0","19392","LA SIERRA","Cabecera municipal",
"19","CAUCA","31,1","11,8","1,6","13,4","3,9","18,7","7,4","18","2,5","49,1","0,7","17,5","9,2","0,9","19397","LA VEGA","Cabecera municipal",
"19","CAUCA","53,1","57,6","5,3","15,8","5,5","26,4","11","27,7","5","47,2","28,3","1,3","23,3","1,3","19418","LOPEZ DE MICAY","Cabecera municipal",
"19","CAUCA","37,7","1,8","0,9","16,8","8,8","10,9","13,5","39,5","2,1","60,6","0,8","24,3","10,4","0,7","19450","MERCADERES","Cabecera municipal",
"19","CAUCA","17","0,4","1,9","9,5","3,5","17,2","7,7","1,6","2,6","45,2","0,8","1,3","15,1","0,6","19455","MIRANDA","Cabecera municipal",
"19","CAUCA","23,3","3,1","1,3","7,2","8,3","12","11,9","22,1","2","48,2","4,3","12","12,3","0,9","19473","MORALES","Cabecera municipal",
"19","CAUCA","19,4","0,9","1,7","8,5","2,3","16,3","8,1","3,1","2,4","43,4","0,4","5,7","13","0,5","19513","PADILLA","Cabecera municipal",
"19","CAUCA","23,5","33,5","2,3","7,9","2,3","20,3","10,9","23,3","1,8","40","3,1","4,7","9,6","1,6","19517","PAEZ","Cabecera municipal",
"19","CAUCA","25,9","3","1,2","12,2","2,1","11,7","12,5","9,7","2,2","53,2","1,7","10,7","11,8","0,8","19532","PATIA","Cabecera municipal",
"19","CAUCA","40,3","2,1","1,3","8,3","1,3","15,3","15,9","20,9","5,5","55,2","62,1","3,5","21,5","3,1","19533","PIAMONTE","Cabecera municipal",
"19","CAUCA","22,9","1,4","1,2","11,1","5","13,1","11,8","11,4","2,6","52,9","5,2","5,9","14,2","1,4","19548","PIENDAMO - TUNIA","Cabecera municipal",
"19","CAUCA","16,7","0,9","2,1","7,3","2,1","20,8","8,2","1,3","3,7","38,9","0,2","2,1","11,9","0,5","19573","PUERTO TEJADA","Cabecera municipal",
"19","CAUCA","24,6","5","1,1","9,3","1,2","11","20,2","32,8","1,9","51,2","6,8","7,8","12,9","1,2","19585","PURACE","Cabecera municipal",
"19","CAUCA","25,3","3,6","1","6,9","0,8","15,2","11,4","8,1","1,3","48","2,5","8,9","12,9","0","19622","ROSAS","Cabecera municipal",
"19","CAUCA","21,3","6","0,8","7,1","5,2","11,1","16,7","18,7","0,4","45,2","0,4","16,3","8,7","0","19693","SAN SEBASTIAN","Cabecera municipal",
"19","CAUCA","15,7","2,2","1,4","5,6","4,6","16,6","7,8","5,7","2,6","37,7","4,6","3,1","11,6","1","19698","SANTANDER DE QUILICHAO","Cabecera municipal",
"19","CAUCA","37,9","2,9","0,8","6,7","9,2","13,9","11,3","5,5","2,1","45,4","23,5","28,6","10,5","0,4","19701","SANTA ROSA","Cabecera municipal",
"19","CAUCA","13,8","7,2","1,4","7","6,5","15,2","9,2","7,1","1,9","36","0,5","1,4","7,8","0,8","19743","SILVIA","Cabecera municipal",
"19","CAUCA","19,7","1,4","0,9","3,6","17,6","9,9","15,8","1,8","0,9","38,7","16,2","14,4","8,6","0,9","19760","SOTARA","Cabecera municipal",
"19","CAUCA","28,4","11,1","2,5","11,3","2,3","14,6","13,7","16,8","8","57,6","2,3","7","12,9","1,8","19780","SUAREZ","Cabecera municipal",
"19","CAUCA","52,8","9,8","0,2","15,3","1,5","9,2","12,9","12","2","61,6","2,4","53,6","13,5","0,2","19785","SUCRE","Cabecera municipal",
"19","CAUCA","24","0,6","0,9","9,4","10,6","13,9","13,4","6,5","1,9","48,2","4,5","6,5","11,2","0,8","19807","TIMBIO","Cabecera municipal",
"19","CAUCA","60,3","75,2","5,6","19,6","4,3","27","14,3","79,2","5,3","51,4","68,6","0,7","32,7","3,1","19809","TIMBIQUI","Cabecera municipal",
"19","CAUCA","16,7","5","1,2","8,3","2,7","12,8","7,8","10,1","1,7","39,7","7,5","7","10,6","2,9","19821","TORIBIO","Cabecera municipal",
"19","CAUCA","26,7","21,9","1,8","7,4","4,8","16,7","22,7","17,9","2,2","44,6","2,8","15,7","9,4","1,4","19824","TOTORO","Cabecera municipal",
"19","CAUCA","23,7","45,2","1,9","6","4,7","18,4","8,7","5,9","2,4","40,7","0,6","4,1","12,2","0,3","19845","VILLA RICA","Cabecera municipal",
"19","CAUCA","18,4","3,1","1,4","5,9","8,1","17,8","7,4","5,4","2,3","37,8","6,1","5,6","11,8","0,6","19001","POPAYAN","Total",
"19","CAUCA","62,9","56,3","1,1","24,2","5,3","6,9","7,8","54,2","6,5","81,8","0,3","80,4","15,9","2,2","19022","ALMAGUER","Total",
"19","CAUCA","50,1","23,9","2,9","16","13,8","14,7","5,5","12,8","9,2","82,9","4,3","28,1","19,7","4,6","19050","ARGELIA","Total",
"19","CAUCA","47,1","45,4","1,8","16,9","7,2","8","6,5","16,7","7","80,7","2,2","50,2","16","3,3","19075","BALBOA","Total",
"19","CAUCA","51,1","47,7","1,4","18,4","3","8","7,3","34,3","5,8","78,2","0,5","70,3","14","2,3","19100","BOLIVAR","Total",
"19","CAUCA","42,5","40,9","2,9","15,3","5,5","15,2","4,3","17,6","4,9","69,1","2,7","35,3","18,5","2,8","19110","BUENOS AIRES","Total",
"19","CAUCA","56,9","59,2","1,7","20","7,8","9,9","6,1","30,5","7,7","80,3","3,3","43,6","20,2","3,6","19130","CAJIBIO","Total",
"19","CAUCA","56","15,9","3,3","21,6","11,5","13,3","11,5","30,5","7,2","72,8","2,9","49,2","20","4,9","19137","CALDONO","Total",
"19","CAUCA","37,4","28,7","1,6","13,6","5,4","12,8","7,3","18,4","3","55,7","12,7","36,7","17,1","1,9","19142","CALOTO","Total",
"19","CAUCA","33,7","17,8","1,2","15,5","5,6","14,6","9,3","11,7","4,6","62,7","7,7","26,3","14,6","2,3","19212","CORINTO","Total",
"19","CAUCA","46","29","1,8","18,4","9,9","10,2","5,5","23,3","5,5","80,1","5,9","33,5","15,2","2,7","19256","EL TAMBO","Total",
"19","CAUCA","36,3","9,8","0,5","16","4,7","7,5","7","16,3","5,9","77,2","0,4","18,3","18,4","3","19290","FLORENCIA","Total",
"19","CAUCA","20,2","7,2","1,6","8,5","3,3","18,1","4,7","6,8","1,8","43,5","1","5,8","16,5","0,4","19300","GUACHENE","Total",
"19","CAUCA","68,9","78,7","10,9","28,8","1,4","30,8","9,6","82,2","8,2","67,2","32,1","1,8","33,4","3,3","19318","GUAPI","Total",
"19","CAUCA","59","24,5","2,3","17,5","16,1","13,9","5,8","30,3","5,5","72,2","1,6","48,7","21,7","3,4","19355","INZA","Total",
"19","CAUCA","46,5","23,1","1,8","21,7","10,8","9,7","6,8","24,4","5,5","67,4","1,1","51,9","21,1","5,3","19364","JAMBALO","Total",
"19","CAUCA","53,6","21,7","1,2","16,7","5,4","11","8,1","31,6","3,1","71,7","6,2","60","14,6","0,9","19392","LA SIERRA","Total",
"19","CAUCA","56,7","31,5","1,7","16,9","8,4","12,2","6,6","37,7","4,8","75,5","0,6","67,3","16,3","1,7","19397","LA VEGA","Total",
"19","CAUCA","81,2","84,6","17","27,3","6,2","34,6","12,1","58,1","9,8","77,4","4,7","1,7","40,1","2,2","19418","LOPEZ DE MICAY","Total",
"19","CAUCA","46,6","29","0,9","19,1","6,1","9,3","7,8","42","3,5","74,9","1,4","45,9","13,1","1,9","19450","MERCADERES","Total",
"19","CAUCA","21,6","5,8","1,8","11,6","5,7","15,1","5,8","4,6","3","52,1","2,9","9,6","14,7","1,2","19455","MIRANDA","Total",
"19","CAUCA","48,7","37,8","2,2","15,9","5,8","10,2","5,9","23,4","5","71,3","9,8","39","14,5","3,3","19473","MORALES","Total",
"19","CAUCA","22","6","1,7","8,4","2","16,1","5,3","6,2","2,9","48,6","1,8","9,7","13,7","0,3","19513","PADILLA","Total",
"19","CAUCA","56,3","18,4","3,4","18,8","5,1","15,5","7,9","34,7","7,3","72,5","2,9","49,7","22,4","4,7","19517","PAEZ","Total",
"19","CAUCA","44,1","39,4","1,5","16,6","1,7","12,5","8,2","18,9","3,9","67,7","4,1","39,8","16,4","1,4","19532","PATIA","Total",
"19","CAUCA","44","25","2,2","10,1","5,3","13,6","7,6","18,2","8,8","69,3","17,8","5,9","22,6","4,7","19533","PIAMONTE","Total",
"19","CAUCA","30,7","5,6","1,2","13,9","4,1","10,6","8,1","15,8","4","64,8","5,7","16,4","12,1","2,2","19548","PIENDAMO - TUNIA","Total",
"19","CAUCA","16,6","1,9","2,1","7,1","2","20,6","7,5","1,5","3,9","39,8","0,3","2,3","11,8","0,5","19573","PUERTO TEJADA","Total",
"19","CAUCA","39,5","19,8","1,5","12,4","8,2","11,5","9,5","34,7","4","66,3","2,6","20","17,4","2,4","19585","PURACE","Total",
"19","CAUCA","43,2","33,6","1,3","17,1","3","11","4,6","9,5","3,7","75,1","5,6","37,6","11","1,1","19622","ROSAS","Total",
"19","CAUCA","46,4","19,5","1,2","14,1","5,6","9","6,9","20,1","4,6","74,7","0,3","71,7","12,9","2,1","19693","SAN SEBASTIAN","Total",
"19","CAUCA","23,8","10,1","1,6","8,7","4,7","15,4","6,5","6,7","3,2","49,6","7,4","18,6","13","1,8","19698","SANTANDER DE QUILICHAO","Total",
"19","CAUCA","66,1","32,4","1,6","11,9","28,1","16","8,9","58,7","5,6","72","5","29,6","24,4","3,2","19701","SANTA ROSA","Total",
"19","CAUCA","43,8","19,7","3","18,6","6,5","12","8,9","34,6","4,9","67,7","1","36,6","17,1","4,9","19743","SILVIA","Total",
"19","CAUCA","32,3","14,4","1,3","9,7","3,3","11,4","6,8","28,6","4,4","67,2","3","37,4","12,6","1,7","19760","SOTARA","Total",
"19","CAUCA","44,1","55,1","2,6","13,1","5,1","12,8","7,5","19,2","8,2","69,9","1,9","32,8","14","3,3","19780","SUAREZ","Total",
"19","CAUCA","75,5","65,2","0,8","20,9","1,8","7,7","6,4","36,5","4,5","75,8","1,3","82","16,7","0,1","19785","SUCRE","Total",
"19","CAUCA","35,7","4,1","1,3","12,6","17,8","12,4","8,9","8,4","3","63,8","8","13,9","14,1","1,1","19807","TIMBIO","Total",
"19","CAUCA","72,4","78,2","9,4","28,4","5,6","26","15,7","76,1","7,9","70,1","21,3","2,4","38,1","2,9","19809","TIMBIQUI","Total",
"19","CAUCA","45,1","28,6","2,8","19,9","4,6","10,6","4,7","26,4","6,2","68,1","8,6","39,6","16,1","5,5","19821","TORIBIO","Total",
"19","CAUCA","55,1","24,3","2,2","13,2","7,2","11,7","14,7","38,7","4,7","69,5","2,4","47,4","19,6","2,7","19824","TOTORO","Total",
"19","CAUCA","22,7","42","1,8","6","4,2","18,2","7,3","6,6","2,5","41,9","0,9","5,2","11,7","0,4","19845","VILLA RICA","Total",
"19","CAUCA","29,4","10,2","1,8","10,4","6,1","15","5,4","10,3","4,9","61","5,3","21,3","14,3","1,3","19001","POPAYAN","Resto",
"19","CAUCA","66","61,1","1","25,5","5,5","6,3","7,2","58,3","7","85,5","0,2","86,2","16,9","2,3","19022","ALMAGUER","Resto",
"19","CAUCA","52,7","26,7","3","16,7","14,2","14,5","4,4","13,3","10,1","85,7","4,2","30,9","20","4,8","19050","ARGELIA","Resto",
"19","CAUCA","50,3","56,9","1,8","17,2","8,5","7,3","3,8","16,6","7,3","83,6","1,6","63,6","15,9","3,6","19075","BALBOA","Resto",
"19","CAUCA","55,4","54,2","1,5","19,6","3,1","7,5","6,7","38,3","6,4","82,8","0,4","79","14,8","2,5","19100","BOLIVAR","Resto",
"19","CAUCA","43,4","42,9","3","15,6","5,7","15,1","4,1","18,1","5,1","70,2","2,8","36,8","18,6","2,8","19110","BUENOS AIRES","Resto",
"19","CAUCA","59,3","63,2","1,6","20,9","8,1","9,6","6","32","8,1","82,4","3,4","46,5","20,9","3,8","19130","CAJIBIO","Resto",
"19","CAUCA","57,6","16,8","3,4","22,4","11,9","12,7","11,5","30,8","7,6","75","3","51,8","20,8","5,2","19137","CALDONO","Resto",
"19","CAUCA","42,3","34,9","1,8","15,5","5,8","12,1","6,5","19,9","3,4","61","14,5","45,2","18,3","2,3","19142","CALOTO","Resto",
"19","CAUCA","48,3","38,7","1,2","19","7,8","10,6","5,5","24,4","6,3","72","12,1","52,9","17,8","3,7","19212","CORINTO","Resto",
"19","CAUCA","47,1","31","1,8","18,9","10,3","9,9","5,1","23,8","5,7","82,1","5,4","35,3","15,7","2,8","19256","EL TAMBO","Resto",
"19","CAUCA","40,1","12,5","0,6","17,9","4,2","6,1","5,3","19,8","6,9","83,9","0,4","22,7","18,8","3,6","19290","FLORENCIA","Resto",
"19","CAUCA","21,2","10,3","1,8","9,7","3,5","18","2,2","8,1","1,9","46","1,1","7,7","16,8","0,2","19300","GUACHENE","Resto",
"19","CAUCA","79,9","76,3","15,2","36","1,3","33,7","7,9","81,8","11,1","85","1","4","40,2","5","19318","GUAPI","Resto",
"19","CAUCA","60,9","25,3","2,2","18,1","16,6","13,6","5,7","31,2","5,7","74","1,6","51","22,4","3,5","19355","INZA","Resto",
"19","CAUCA","49,8","25,3","2","23,5","10,5","9,2","6,6","26,6","6,1","71,3","1,1","57,3","22,1","5,7","19364","JAMBALO","Resto",
"19","CAUCA","55,9","25,7","1,3","17,7","6,3","10,5","6,3","31,8","3,4","75,9","5,7","66,2","15,6","1,1","19392","LA SIERRA","Resto",
"19","CAUCA","58,1","32,7","1,7","17,1","8,7","11,8","6,5","38,9","5","77,2","0,6","70,3","16,8","1,8","19397","LA VEGA","Resto",
"19","CAUCA","84,9","88,8","18,8","29,1","6,3","35,8","12,3","62,8","10,6","82,1","1","1,7","42,7","2,4","19418","LOPEZ DE MICAY","Resto",
"19","CAUCA","52,1","44,4","1","20,3","4,6","8,3","4,5","43,5","4,3","83","1,7","58,3","14,6","2,7","19450","MERCADERES","Resto",
"19","CAUCA","29","13,3","1,8","14,5","8,7","12,2","3","8,7","3,5","61,8","5,8","21,2","14,2","2,1","19455","MIRANDA","Resto",
"19","CAUCA","50,8","40,7","2,2","16,6","5,6","10,1","5,4","23,5","5,2","73,2","10,3","41,3","14,7","3,5","19473","MORALES","Resto",
"19","CAUCA","24,5","10,6","1,7","8,2","1,7","16","2,7","8,9","3,3","53,4","3,1","13,4","14,3","0,2","19513","PADILLA","Resto",
"19","CAUCA","59","16,8","3,5","19,9","5,4","15,1","7,6","35,9","7,9","75,9","2,9","54,4","23,8","5","19517","PAEZ","Resto",
"19","CAUCA","56,8","67","1,7","20","1,4","13,1","5,1","25,8","5,1","78,7","5,8","61,8","19,9","1,9","19532","PATIA","Resto",
"19","CAUCA","45,3","33,3","2,5","10,7","6,7","13","4,7","17,2","10,1","74,5","1,8","6,7","23","5,2","19533","PIAMONTE","Resto",
"19","CAUCA","35,3","8,1","1,2","15,6","3,6","9,1","5,9","18,5","4,8","71,8","6","22,6","10,9","2,6","19548","PIENDAMO - TUNIA","Resto",
"19","CAUCA","15,8","9,2","2,2","5,5","1,7","18,9","2,2","2,7","5,7","46,4","0,8","3,8","11,6","0,5","19573","PUERTO TEJADA","Resto",
"19","CAUCA","41,3","21,9","1,6","12,8","9,2","11,6","7,9","35","4,3","68,5","2","21,7","18","2,6","19585","PURACE","Resto",
"19","CAUCA","45,4","37,4","1,4","18,4","3,3","10,5","3,7","9,7","4","78,6","5,9","41,2","10,8","1,3","19622","ROSAS","Resto",
"19","CAUCA","48","20,4","1,2","14,6","5,6","8,9","6,3","20,2","4,8","76,8","0,2","75,6","13,2","2,2","19693","SAN SEBASTIAN","Resto",
"19","CAUCA","31,7","18,1","1,7","11,8","4,7","14,2","5,1","7,7","3,9","61,8","10,1","34,4","14,3","2,6","19698","SANTANDER DE QUILICHAO","Resto",
"19","CAUCA","69,8","37,4","1,8","12,8","31,3","16,4","8,5","67,8","6,1","76,5","1,9","29,8","26,8","3,7","19701","SANTA ROSA","Resto",
"19","CAUCA","48,2","21,8","3,2","20,6","6,5","11,4","8,8","39,1","5,4","72,9","1,1","42,4","18,6","5,5","19743","SILVIA","Resto",
"19","CAUCA","32,8","15,1","1,3","10","2,6","11,5","6,4","29,9","4,6","68,7","2,4","38,5","12,8","1,7","19760","SOTARA","Resto",
"19","CAUCA","50,6","71,8","2,7","13,8","6,1","12,1","5,2","20,2","8,2","74,6","1,8","42,5","14,4","3,9","19780","SUAREZ","Resto",
"19","CAUCA","80,4","78,8","0,9","22,3","1,9","7,3","4,8","42,5","5,1","79,3","1,1","88,9","17,5","0","19785","SUCRE","Resto",
"19","CAUCA","44","6,5","1,6","14,8","22,8","11,4","5,8","9,7","3,7","74,6","10,5","19,2","16,1","1,4","19807","TIMBIO","Resto",
"19","CAUCA","77,2","79,5","11","32,2","6,1","25,6","16,3","74,8","9","78,1","1","3,1","40,4","2,8","19809","TIMBIQUI","Resto",
"19","CAUCA","47","30,6","2,9","20,8","4,7","10,4","4,4","27,8","6,6","70,5","8,7","42,4","16,6","5,7","19821","TORIBIO","Resto",
"19","CAUCA","57","24,5","2,2","13,6","7,4","11,3","14,1","40,3","4,9","71,5","2,3","49,9","20,4","2,8","19824","TOTORO","Resto",
"19","CAUCA","20,2","33","1,6","5,8","2,8","17,7","3,3","8,7","2,7","45,3","1,5","8,3","10,5","0,5","19845","VILLA RICA","Resto",
